LAST_UPLOAD_DATE,NEW_LICNO,REFERENCE_NUMBER,SERVICE,NEW_ACCOUNT,LICENSEE,LOCATION,STATION_TYPE,TECHNOLOGY,CELL_ID,PHYSICAL_ID,PROV,LATITUDE,LONGITUDE,SITE_TYPE,STUCT_HT,STRUCTURE_TYPE,LAST_MOD_DATE,RECORD_ID,TRANSMIT_FREQ,RECEIVE_FREQ,TX_MODEL,TX_MFR,TRANSMIT_BW,BW_EMISSION,TX_PWR,TX_ANT_MODEL,TX_ANT_MFR,TX_ANT_HT,TX_ANT_DIRECTIONAL,TX_ANT_AZIM,TX_ANT_ELEV_ANGLE,TX_ANT_GAIN,TX_LINE_LOSS,DEM_GROUND_ELEV_M,SITE_ELEV,ANTENNA_Z_M
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6080 Young Street,FX,HSPA,610-10800-156197863,1008.0,NS,44.6583,-63.6031,O,1.0,R,2013-12-10,J0567,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,46.0,FFV4_65A_R6,Commscope,1.0,D,220.0,-5.0,12.7,0.0,53.851463317871094,53.851463317871094,54.851463317871094
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6369 COBURG RD,FX,HSPA,610-10800-156354861,1008.0,NS,44.638182,-63.59614,O,1.0,R,2013-12-10,J1407,1967.5,1887.5,RRU3971PCS,6369A,4.15,4M15W7W,46.0,FFV4_65A_R6,Commscope,1.0,D,330.0,0.0,12.7,0.0,42.63999938964844,42.63999938964844,43.63999938964844
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6369 COBURG RD,FX,HSPA,610-10800-156355862,1008.0,NS,44.638182,-63.59614,O,1.0,R,2013-12-10,J1407,1967.5,1887.5,RRU3971PCS,6369A,4.15,4M15W7W,46.0,FFV4_65A_R6,Commscope,1.0,D,60.0,0.0,12.7,0.0,42.63999938964844,42.63999938964844,43.63999938964844
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6369 COBURG RD,FX,HSPA,610-10800-156356863,1008.0,NS,44.638182,-63.59614,O,1.0,R,2013-12-10,J1407,1967.5,1887.5,RRU3971PCS,6369A,4.15,4M15W7W,46.0,FFV4_65A_R6,Commscope,1.0,D,180.0,0.0,12.7,0.0,42.63999938964844,42.63999938964844,43.63999938964844
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6449 Seaforth Street,FX,HSPA,610-10800-157632861,1008.0,NS,44.649292,-63.604917,O,1.0,R,2013-12-10,J0624,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,46.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,330.0,-3.0,13.2,0.0,57.612850189208984,57.612850189208984,58.612850189208984
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6449 Seaforth Street,FX,HSPA,610-10800-157633862,1008.0,NS,44.649292,-63.604917,O,1.0,R,2013-12-10,J0624,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,46.0,FFV4_65A_R6,Commscope,1.0,D,70.0,-3.0,12.7,0.0,57.612850189208984,57.612850189208984,58.612850189208984
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6449 Seaforth Street,FX,HSPA,610-10800-157634863,1008.0,NS,44.649292,-63.604917,O,1.0,R,2013-12-10,J0624,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,46.0,FFV4_65A_R6,Commscope,1.0,D,200.0,-3.0,12.7,0.0,57.612850189208984,57.612850189208984,58.612850189208984
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6450 Young Street,FX,HSPA,610-10800-161789861,1008.0,NS,44.6535,-63.6104,O,1.0,R,2014-08-28,J1466,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,46.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,45.0,-2.0,13.2,0.0,52.218841552734375,52.218841552734375,53.218841552734375
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6450 Young Street,FX,HSPA,610-10800-161790862,1008.0,NS,44.6535,-63.6104,O,1.0,R,2014-08-28,J1466,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,46.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,135.0,-2.0,13.2,0.0,52.218841552734375,52.218841552734375,53.218841552734375
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6450 Young Street,FX,HSPA,610-10800-161791863,1008.0,NS,44.6535,-63.6104,O,1.0,R,2014-08-28,J1466,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,46.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,225.0,-2.0,13.2,0.0,52.218841552734375,52.218841552734375,53.218841552734375
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6450 Young Street,FX,HSPA,610-10800-161792864,1008.0,NS,44.6535,-63.6104,O,1.0,R,2014-08-28,J1466,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,46.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,315.0,-2.0,13.2,0.0,52.218841552734375,52.218841552734375,53.218841552734375
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6969 Bayers Road,FX,HSPA,610-10800-156213861,1008.0,NS,44.6556,-63.6243,O,1.0,R,2013-12-10,J0574,1967.5,1887.5,RRU3841,6369A,4.15,4M15W7W,46.0,FFV4_65A_R6,Commscope,1.0,D,0.0,0.0,12.7,0.0,22.115270614624023,22.115270614624023,23.115270614624023
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6969 Bayers Road,FX,HSPA,610-10800-156214862,1008.0,NS,44.6556,-63.6243,O,1.0,R,2013-12-10,J0574,1967.5,1887.5,RRU3841,6369A,4.15,4M15W7W,46.0,FFV4_65A_R6,Commscope,1.0,D,120.0,0.0,12.7,0.0,22.115270614624023,22.115270614624023,23.115270614624023
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,6969 Bayers Road,FX,HSPA,610-10800-156215863,1008.0,NS,44.6556,-63.6243,O,1.0,R,2013-12-10,J0574,1967.5,1887.5,RRU3841,6369A,4.15,4M15W7W,46.0,FFV4_65A_R6,Commscope,1.0,D,240.0,0.0,12.7,0.0,22.115270614624023,22.115270614624023,23.115270614624023
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,7001 Mumford Road,FX,HSPA,610-10800-156126861,1008.0,NS,44.648695,-63.618854,O,1.0,R,2013-12-10,J0418,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,46.0,FFV4_65A_R6,Commscope,1.0,D,30.0,0.0,12.7,0.0,25.384458541870117,25.384458541870117,26.384458541870117
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,7001 Mumford Road,FX,HSPA,610-10800-156127862,1008.0,NS,44.648695,-63.618854,O,1.0,R,2013-12-10,J0418,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,46.0,FFV4_65A_R6,Commscope,1.0,D,120.0,0.0,12.7,0.0,25.384458541870117,25.384458541870117,26.384458541870117
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,7001 Mumford Road,FX,HSPA,610-10800-156128863,1008.0,NS,44.648695,-63.618854,O,1.0,R,2013-12-10,J0418,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,46.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,210.0,0.0,13.2,0.0,25.384458541870117,25.384458541870117,26.384458541870117
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,7001 Mumford Road,FX,HSPA,610-10800-162459864,1008.0,NS,44.648695,-63.618854,O,1.0,R,2016-06-09,J0418,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,46.0,FFV4_65A_R6,Commscope,1.0,D,300.0,0.0,12.7,0.0,25.384458541870117,25.384458541870117,26.384458541870117
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,7001 Mumford Road,FX,HSPA,610-10800-162519864,1008.0,NS,44.648695,-63.618854,O,1.0,R,2016-06-03,J0418,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,37.0,FFV4_65A_R6,Commscope,1.0,D,0.0,0.0,0.0,0.0,25.384458541870117,25.384458541870117,26.384458541870117
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,7001 Mumford Road,FX,HSPA,610-10800-162520865,1008.0,NS,44.648695,-63.618854,O,1.0,R,2016-06-03,J0418,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,37.0,FFV4_65A_R6,Commscope,1.0,D,0.0,0.0,0.0,0.0,25.384458541870117,25.384458541870117,26.384458541870117
2026-05-23,010288207-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,7001 Mumford Road,FX,HSPA,610-10800-162521866,1008.0,NS,44.648695,-63.618854,O,1.0,R,2016-06-03,J0418,1967.5,1887.5,RRU3942,6369A,4.15,4M15W7W,37.0,FFV4_65A_R6,Commscope,1.0,D,0.0,0.0,0.0,0.0,25.384458541870117,25.384458541870117,26.384458541870117
2026-05-23,010288577-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,1030 South Park Street,FX,LTE,610-58000-141242409,153.0,NS,44.634639,-63.576333,O,1.0,R,2021-10-15,J1406,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,95.0,-4.0,13.2,0.0,19.205705642700195,19.205705642700195,20.205705642700195
2026-05-23,010288577-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,1030 South Park Street,FX,LTE,610-58000-141242410,307.0,NS,44.634639,-63.576333,O,1.0,R,2021-10-15,J1406,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,190.0,-4.0,13.2,0.0,19.205705642700195,19.205705642700195,20.205705642700195
2026-05-23,010288577-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,1030 South Park Street,FX,LTE,610-58000-141242411,101.0,NS,44.634639,-63.576333,O,1.0,R,2021-10-15,J1406,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,330.0,0.0,13.2,0.0,19.205705642700195,19.205705642700195,20.205705642700195
2026-05-23,010288577-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,1181 HOLLIS ST,FX,LTE,610-58000-141570345,262.0,NS,44.640097,-63.568233,O,1.0,R,2021-07-09,J0915,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,FFV4_65A_R6,Commscope,1.0,D,330.0,-6.0,12.7,0.0,6.322375774383545,6.322375774383545,7.322375774383545
2026-05-23,010288577-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,1181 HOLLIS ST,FX,LTE,610-58000-141570346,263.0,NS,44.640097,-63.568233,O,1.0,R,2021-10-15,J0915,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,FFV4_65A_R6,Commscope,1.0,D,180.0,-4.0,12.7,0.0,6.322375774383545,6.322375774383545,7.322375774383545
2026-05-23,010288577-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,1181 HOLLIS ST,FX,LTE,610-58000-141570347,261.0,NS,44.640097,-63.568233,O,1.0,R,2021-10-15,J0915,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,FFV4_65A_R6,Commscope,1.0,D,250.0,-6.0,12.7,0.0,6.322375774383545,6.322375774383545,7.322375774383545
2026-05-23,010288577-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,1209 Marginal Road,FX,LTE,610-58000-142909481,273.0,NS,44.640184,-63.56603,I,1.0,O,2023-01-26,J4390,1952.5,1872.5,FWFB,661AF,20.0,20M0W7W,40.02,FA2EA,NSN,1.0,N,0.0,0.0,2.0,0.0,3.0083606243133545,3.0083606243133545,4.0083606243133545
2026-05-23,010288577-001,Upload 26-MAY-22,PCS,7093900105,Bell Mobility Inc.,1210 Barrington Street,FX,LTE,610-58000-141303337,193.0,NS,44.649722,-63.576667,O,1.0,R,2021-10-15,J0694,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,310.0,0.0,13.2,0.0,19.858142852783203,19.858142852783203,20.858142852783203
